lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
134,2,130.5,8,4,4,2,0,0,0,1
320,1,115.0,8,18,4,2,0,1,0,0
118,1,90.95,4,13,4,4,0,0,0,1
30,1,76.08,11,17,4,3,0,0,0,1
30,0,156.9,12,22,4,3,1,0,5,1
189,2,85.5,10,23,4,0,1,3,0,1
55,2,159.3,5,13,4,2,1,0,3,1
55,2,74.8,12,13,4,4,0,0,0,1
16,1,95.0,10,31,4,1,0,0,0,1
24,1,107.0,10,8,4,3,0,0,0,1
8,0,64.0,2,16,3,3,0,0,0,1
10,0,82.95,11,2,4,4,1,0,0,1
0,1,155.0,9,21,4,3,1,0,3,1
12,1,101.68,6,30,4,1,0,3,0,1
32,3,94.5,9,5,4,1,2,0,0,1
182,2,117.9,9,30,4,2,0,0,0,0
1,1,127.0,6,27,4,0,1,3,0,1
122,2,116.1,6,16,4,3,0,3,0,1
40,1,117.9,6,30,4,3,2,0,0,1
116,1,184.24,6,26,4,2,2,0,1,0
123,1,155.7,8,13,4,2,2,0,3,1
40,0,135.76,4,22,4,5,2,0,3,0
105,3,102.83,11,12,4,5,2,0,0,1
443,0,65.0,4,29,4,1,0,0,0,0
2,1,103.0,11,14,4,3,2,0,0,1
317,1,106.2,9,1,4,3,0,0,0,0
286,0,58.5,9,16,3,2,0,1,0,1
68,0,73.95,3,10,4,3,1,0,0,0
148,0,105.3,5,5,4,3,0,0,0,1
68,2,133.2,4,24,4,0,2,0,3,1
30,0,85.5,3,30,3,2,0,0,0,1
14,1,112.0,11,3,4,1,0,0,0,0
110,0,190.8,10,14,4,2,0,0,5,0
117,0,110.0,6,5,3,3,2,0,0,1
85,1,91.48,7,13,4,4,1,0,3,1
1,2,135.0,10,20,4,2,0,3,0,1
25,2,129.0,10,17,4,2,1,0,0,1
289,2,70.55,12,28,4,4,2,3,0,0
28,0,75.0,10,19,3,4,1,0,3,1
80,0,72.25,3,29,4,4,0,3,0,1
11,2,155.0,10,9,4,1,0,0,3,1
162,2,121.5,7,25,4,0,1,0,0,0
155,2,90.95,6,28,4,5,2,0,0,1
82,0,109.65,5,22,4,2,2,0,0,1
27,0,142.72,4,15,4,4,2,0,3,0
13,0,90.0,5,9,3,2,1,0,0,1
245,0,75.0,6,17,4,2,0,0,0,0
11,1,111.0,11,18,4,2,0,0,0,0
266,2,86.7,10,30,4,2,2,0,0,1
39,1,117.9,3,28,4,0,1,0,0,1
13,1,0.0,6,1,1,2,0,0,0,1
112,1,101.58,5,4,4,4,0,3,0,1
88,1,58.9,4,8,4,2,1,3,0,1
56,0,120.0,6,8,3,1,0,0,0,1
73,0,107.1,4,7,4,3,2,0,3,0
80,1,126.9,5,2,4,1,1,0,0,1
130,2,139.5,9,29,4,3,0,0,3,0
69,1,80.75,4,4,4,3,1,3,0,1
273,0,109.0,7,17,4,2,0,1,0,0
4,1,65.0,11,1,2,3,0,0,0,1
97,0,140.4,5,24,4,3,0,0,3,1
44,0,75.0,2,17,3,3,0,0,0,1
31,0,94.5,4,14,4,1,0,3,0,0
0,0,109.0,6,5,4,0,1,3,0,1
62,2,105.0,11,12,4,2,2,0,0,1
86,1,107.95,4,17,4,2,2,0,3,1
3,1,215.6,10,7,4,2,2,0,6,1
197,1,85.5,8,1,4,1,1,3,0,1
143,2,105.3,7,12,4,2,0,0,0,1
23,0,1.0,1,2,4,1,2,1,0,1
8,0,156.0,6,15,4,2,0,0,3,0
13,1,73.15,11,16,4,2,0,0,0,1
280,0,110.0,9,19,4,2,1,0,0,0
11,1,87.4,9,13,4,0,1,3,0,1
317,0,120.0,9,15,4,2,0,0,0,0
185,0,79.2,12,16,4,2,1,3,0,0
160,1,90.95,6,30,4,3,1,0,0,1
104,1,91.48,10,18,4,4,0,0,0,1
11,1,150.0,11,5,4,1,0,0,0,0
2,0,89.0,3,22,4,1,0,3,0,1
14,1,91.43,8,17,4,4,1,3,0,1
22,0,140.0,5,20,3,2,0,0,0,1
37,0,87.78,10,24,4,5,2,3,0,1
292,0,115.0,7,21,4,2,0,1,0,0
11,1,80.85,9,9,4,3,0,0,0,1
86,1,82.45,3,31,4,3,1,0,0,1
109,0,108.0,10,11,4,1,0,3,0,0
72,1,96.3,4,2,4,1,1,0,3,1
196,0,99.45,8,22,4,5,1,0,0,0
56,1,140.4,5,13,4,2,0,0,3,1
189,0,72.25,8,8,3,3,1,0,0,1
126,0,126.0,8,15,4,4,1,0,3,1
303,0,78.0,8,19,4,3,2,0,0,0
81,1,146.6,11,6,4,2,2,0,3,1
54,0,118.8,10,10,4,2,1,0,0,0
15,0,145.0,10,6,4,1,0,0,0,0
86,0,84.58,4,6,4,4,0,0,0,0
161,0,130.0,3,25,4,2,1,1,0,0
147,1,118.88,8,3,4,10,4,0,3,0
92,0,101.52,5,30,3,2,1,0,0,1
87,0,100.0,9,11,2,1,0,0,0,0
109,0,58.0,3,20,3,1,2,0,0,1
127,2,61.5,3,23,3,4,0,0,0,1
418,0,107.0,9,26,4,2,1,1,0,0
156,1,87.3,8,24,4,4,1,3,0,1
80,1,76.5,7,16,4,2,0,0,0,0
211,0,63.75,12,16,4,2,2,3,0,0
273,0,95.0,5,13,4,2,1,0,0,0
58,1,75.0,11,19,3,1,2,0,0,1
433,0,70.0,9,8,4,3,0,0,0,0
111,1,101.58,5,2,4,3,1,0,0,1
34,0,85.0,8,21,3,3,2,0,0,1
17,0,98.39,12,3,4,4,2,0,0,1
4,1,0.0,2,27,1,0,0,0,0,1
6,1,106.07,9,22,4,3,0,0,0,1
32,1,105.0,7,18,3,1,1,0,0,1
4,2,145.0,9,22,4,1,0,0,0,1
195,1,106.03,8,13,4,1,2,0,0,0
119,1,114.3,8,13,4,2,2,0,0,1
13,0,88.0,12,5,4,1,1,3,0,1
59,2,89.25,10,15,4,2,0,0,0,1
78,1,86.32,3,20,4,5,2,0,3,1
335,1,90.0,10,13,3,3,0,0,0,1
103,0,55.96,8,22,4,5,2,0,0,1
0,1,109.0,6,8,4,2,0,3,0,1
118,0,86.0,3,1,3,1,0,0,0,1
56,0,118.95,9,5,4,5,1,0,0,1
107,1,130.0,6,10,3,2,0,0,0,1
70,1,90.56,4,14,4,3,1,3,0,1
76,1,87.3,4,1,4,2,0,0,0,1
144,1,177.65,5,27,4,2,2,0,5,0
4,2,200.75,9,19,4,2,2,0,5,1
15,1,127.0,3,18,4,2,0,0,0,1
32,0,72.9,2,5,4,2,1,0,0,0
49,0,159.3,5,7,4,1,1,0,3,0
77,1,135.15,5,12,4,3,1,0,0,1
22,0,90.0,10,28,3,2,0,0,0,1
0,0,114.0,10,18,4,0,1,3,0,1
58,1,125.1,6,21,4,1,0,0,0,1
4,1,95.13,8,14,4,6,2,3,0,1
117,0,105.84,4,29,4,2,0,0,4,0
36,0,102.0,12,26,4,3,1,0,0,0
35,2,74.8,12,2,4,2,2,3,0,1
31,0,94.5,4,24,4,0,1,3,0,0
79,0,120.6,6,16,4,4,2,3,0,1
1,0,139.33,10,9,4,2,1,0,0,1
21,0,105.0,9,3,4,2,0,0,0,1
12,1,100.0,9,14,2,2,0,3,0,1
33,1,80.3,2,8,4,0,1,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
78,1,105.3,3,24,4,3,0,0,0,1
18,0,112.8,5,31,4,4,0,0,3,0
21,0,151.0,8,15,4,2,1,0,0,0
0,1,91.0,11,9,4,3,1,0,0,1
152,1,146.7,8,13,4,1,2,0,3,0
43,0,58.4,10,2,3,3,2,0,0,1
177,1,80.75,7,26,4,4,0,3,0,0
47,0,76.5,5,21,3,1,1,3,0,1
57,0,140.13,9,7,4,3,0,0,3,1
60,1,76.0,11,15,4,4,2,3,0,1
0,0,200.0,9,16,4,1,0,0,0,1
102,0,101.5,10,16,4,2,0,1,0,0
71,1,108.0,10,18,4,3,0,3,0,1
111,1,189.0,7,23,4,3,2,1,3,1
1,3,166.0,6,11,4,1,1,0,3,1
4,0,67.5,1,16,4,1,1,3,0,1
25,1,78.54,9,14,4,3,1,0,3,1
209,1,152.1,11,6,4,2,2,0,0,0
93,0,115.0,10,15,4,1,2,0,0,0
53,2,66.53,9,2,4,5,2,3,0,1
1,1,0.0,8,12,1,2,0,0,0,1
4,1,0.0,8,23,1,1,2,0,0,1
302,2,90.3,12,29,4,3,0,0,0,0
122,0,85.0,4,15,3,2,0,0,0,1
16,0,75.0,3,11,2,1,0,0,0,1
28,1,115.37,8,28,4,4,2,0,0,0
57,2,126.0,12,9,4,2,0,0,3,1
19,1,94.35,6,12,4,0,1,0,0,1
109,4,118.46,7,6,4,4,2,0,3,1
239,0,90.6,6,15,4,2,0,1,0,0
33,2,82.9,3,5,4,1,2,0,0,1
11,1,95.33,8,18,4,3,0,0,0,1
40,1,135.64,4,21,4,5,2,0,3,1
45,0,122.4,6,18,3,1,1,0,3,1
41,0,116.1,5,9,4,3,1,3,0,0
167,0,62.18,6,28,4,4,0,3,0,0
62,0,63.75,3,9,4,4,0,3,0,0
113,0,118.8,9,7,4,4,1,0,0,0
1,0,167.0,8,10,4,2,0,3,0,1
84,1,187.85,5,13,4,2,2,0,5,1
68,1,108.38,4,24,4,2,2,0,0,0
9,1,0.0,9,7,1,1,0,0,1,1
245,0,128.7,10,28,4,2,1,0,0,0
80,1,80.33,3,17,4,3,1,0,0,1
7,1,140.0,8,22,4,1,1,0,0,0
128,2,76.5,8,8,4,1,1,0,0,1
100,1,105.3,5,1,4,1,2,0,0,1
118,1,87.3,4,3,4,1,2,0,0,0
166,0,110.0,11,1,4,3,0,0,0,0
41,0,83.0,9,4,3,1,0,1,0,1
174,1,99.45,8,13,4,2,2,0,0,1
27,3,104.5,12,27,3,1,2,1,0,1
2,2,92.54,11,16,4,6,2,0,0,1
37,0,95.0,10,13,3,3,0,0,0,1
68,1,63.0,1,2,3,1,2,0,0,1
189,0,109.8,10,28,4,2,1,0,3,0
10,0,103.0,5,16,4,0,1,0,0,1
19,1,130.0,2,20,4,1,2,0,3,1
61,0,117.0,3,23,4,2,0,0,0,0
95,0,60.5,12,29,3,4,0,0,3,1
83,0,112.2,9,30,3,1,0,1,0,1
37,0,135.9,8,1,4,3,1,0,0,0
19,1,151.0,7,25,4,0,1,0,0,0
22,2,239.0,9,16,4,2,0,0,5,1
22,0,59.09,12,26,4,1,2,0,0,1
151,0,103.09,7,9,4,5,2,0,0,0
26,0,87.0,2,28,3,1,2,0,0,1
27,0,137.0,4,17,4,0,1,0,3,0
79,0,109.0,6,24,3,2,0,1,0,1
247,1,115.0,6,6,4,1,1,1,0,0
189,1,99.45,7,17,4,3,2,0,3,1
27,2,130.0,2,22,4,2,1,0,3,1
51,0,65.0,5,22,2,0,1,0,0,1
52,0,132.9,7,8,4,2,1,0,0,0
13,0,120.0,10,18,4,0,2,0,0,1
46,1,79.2,11,11,4,2,0,3,0,0
84,0,159.3,8,28,4,1,2,0,3,0
19,0,90.0,10,6,3,3,0,0,0,1
67,1,140.4,5,27,4,2,0,0,3,1
0,0,75.0,8,11,4,1,0,0,0,1
110,0,94.5,7,25,4,1,2,1,0,0
0,0,75.0,12,15,2,1,0,0,0,1
32,1,75.0,10,23,3,2,1,0,3,1
282,0,76.67,10,10,3,1,2,0,0,1
38,0,126.0,10,2,4,2,2,0,0,1
175,1,85.5,7,23,4,1,1,3,0,1
143,0,140.7,8,18,4,3,0,0,3,0
127,1,103.7,6,26,4,2,2,0,3,1
0,0,142.0,9,8,4,1,0,0,0,1
95,3,103.7,12,21,4,5,2,0,0,1
118,0,110.0,6,6,3,2,1,0,0,1
45,0,75.0,11,10,3,3,0,0,0,1
69,0,137.7,7,25,4,1,1,0,3,1
57,3,87.3,9,7,4,1,0,3,0,1
5,4,0.0,8,24,1,2,0,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
0,1,97.0,2,24,4,1,0,0,0,1
89,1,150.3,8,15,4,1,1,0,3,1
85,0,82.45,3,29,4,4,0,0,0,1
4,1,103.0,7,1,2,1,0,0,3,1
11,0,145.0,7,5,4,6,2,0,0,0
12,1,145.0,7,11,4,1,1,0,0,1
77,1,134.85,5,14,4,2,2,0,3,1
14,1,168.25,10,22,4,1,1,0,5,1
133,0,76.0,6,13,3,3,1,0,0,1
3,1,63.5,8,10,3,2,1,0,0,1
19,0,95.0,9,18,3,0,2,0,0,1
86,3,90.95,9,3,3,2,2,0,3,1
23,2,98.4,10,16,4,2,0,0,0,1
65,1,135.9,9,22,4,1,0,0,0,1
1,1,130.0,11,16,4,2,0,0,3,1
66,2,81.9,11,19,4,1,0,0,3,1
50,1,78.85,2,22,4,4,1,0,0,1
87,0,141.3,6,26,4,3,2,1,0,0
159,1,70.0,4,9,3,1,1,0,0,1
39,2,170.1,8,13,4,3,2,1,0,1
386,1,115.0,10,23,4,0,2,1,0,0
22,0,199.0,12,29,4,5,0,0,5,1
102,0,82.45,7,10,3,2,2,0,3,1
86,1,192.86,10,20,4,3,0,0,6,1
56,0,185.0,9,25,3,2,2,0,0,1
36,1,68.07,12,10,4,6,2,0,0,1
50,1,118.8,10,4,4,3,0,0,0,1
115,0,104.4,10,27,4,2,0,0,3,0
0,0,65.0,3,23,2,1,0,0,0,1
35,0,71.1,3,3,4,3,1,3,0,0
17,0,95.0,5,21,3,1,2,0,0,1
237,1,116.62,9,13,4,11,4,0,3,0
125,2,136.0,9,7,4,4,0,0,0,1
32,0,147.9,12,2,4,2,2,0,5,0
5,0,123.7,9,18,3,0,2,3,0,1
91,0,135.9,6,19,4,1,2,0,0,0
102,0,109.0,10,16,3,2,0,1,0,1
9,1,186.0,3,20,4,1,2,0,3,1
155,1,115.6,12,26,4,3,1,0,3,0
0,0,221.0,5,14,4,1,0,0,5,0
11,0,65.0,9,15,2,3,0,0,0,1
0,0,80.0,2,19,2,1,0,0,0,1
86,0,73.83,3,23,3,4,1,0,0,1
18,0,67.0,10,18,2,1,0,0,0,1
58,1,80.3,3,4,4,2,0,0,0,1
54,0,85.0,4,30,3,1,2,3,0,1
25,1,152.1,7,23,4,3,2,0,0,0
107,1,89.25,9,9,4,2,0,0,0,1
100,0,110.0,9,28,3,4,0,1,0,1
29,0,79.0,3,18,4,1,0,3,0,1
221,0,80.0,8,12,4,1,0,0,0,0
213,2,102.85,10,1,4,2,2,0,0,0
198,0,90.0,9,9,4,2,1,0,0,0
81,2,62.37,1,29,4,2,1,0,1,1
23,0,98.0,4,8,4,1,0,3,0,1
26,1,117.67,9,17,4,3,0,0,0,0
20,1,141.0,6,18,4,1,2,0,0,1
124,2,156.61,12,26,4,3,1,0,5,0
85,0,152.1,8,3,4,3,0,0,3,0
167,0,105.3,8,6,4,1,0,0,0,0
71,1,119.85,5,30,4,3,1,0,0,1
48,2,97.2,11,4,4,2,0,0,0,1
37,0,116.1,5,13,4,1,0,3,0,1
76,0,150.45,5,29,4,2,2,0,3,0
13,0,71.0,1,20,3,1,0,0,0,1
3,0,0.0,6,27,1,0,1,0,0,1
75,0,60.0,12,7,3,2,1,0,3,1
5,1,89.0,4,5,2,1,0,0,0,1
180,1,100.0,5,2,3,1,1,0,0,1
122,2,75.9,11,14,4,3,1,3,0,0
24,2,104.55,5,29,4,2,2,0,0,1
162,0,115.0,10,14,4,2,2,0,0,0
25,0,187.0,7,2,4,1,1,0,3,0
1,0,115.0,8,4,4,1,0,0,0,1
236,1,84.43,9,27,4,4,0,3,0,0
120,0,90.95,4,8,4,3,2,0,0,0
12,1,208.0,3,24,4,3,1,1,3,1
224,1,97.18,9,3,4,4,2,0,0,0
33,0,79.11,10,21,3,4,0,1,0,1
24,0,0.0,5,13,1,2,0,0,0,1
22,1,120.0,9,8,4,1,0,0,3,1
10,1,126.0,10,20,4,3,0,0,0,1
15,1,91.0,2,16,4,2,0,0,0,0
230,0,137.0,9,6,4,5,0,1,0,0
54,0,67.32,3,16,3,4,0,0,0,1
45,0,81.62,10,23,4,1,0,0,0,1
63,2,123.66,10,24,4,3,1,1,3,1
166,1,94.5,8,6,4,1,2,3,0,1
148,0,96.3,8,22,4,4,1,0,0,0
136,1,88.01,8,13,4,1,2,0,0,1
37,2,81.9,3,10,4,3,1,0,0,1
66,1,119.85,5,11,4,4,0,0,0,1
11,0,83.5,10,23,3,1,0,0,0,1
1,1,67.0,4,1,2,1,0,0,0,1
7,1,156.0,6,19,4,2,2,0,3,1
43,0,85.0,10,13,3,1,0,0,0,1
5,0,126.75,4,4,4,5,3,0,3,0
24,1,107.1,10,16,4,1,2,3,0,0
53,0,120.0,10,14,3,1,0,0,0,1
52,2,93.6,11,19,4,1,2,0,0,1
12,1,90.0,6,8,3,1,0,0,0,1
230,1,137.0,9,6,4,5,0,0,0,0
92,1,106.43,10,31,4,3,1,0,0,0
2,0,87.78,5,31,4,3,0,3,0,1
74,0,101.5,9,18,3,2,0,1,0,1
82,0,85.5,6,23,4,1,0,3,0,0
147,2,103.7,7,1,4,2,2,0,3,1
2,0,65.0,8,26,2,1,0,0,0,1
166,0,100.12,8,18,4,6,2,0,0,0
28,2,156.25,4,11,4,3,1,1,0,1
309,0,101.0,5,13,4,2,1,1,0,0
54,0,161.1,7,4,4,3,1,1,0,1
49,2,83.8,12,8,4,3,1,3,0,1
1,2,168.0,6,18,4,1,0,0,0,1
0,0,58.0,12,27,3,1,2,0,0,1
4,0,94.5,8,8,3,1,2,1,0,1
60,1,96.3,12,9,4,4,0,0,0,1
157,1,76.5,8,14,4,1,0,0,0,1
268,0,78.0,4,8,3,3,2,0,0,1
38,0,112.59,9,26,4,1,1,3,0,0
30,0,187.04,6,12,4,1,2,0,6,0
2,2,169.0,10,11,4,1,0,0,0,1
217,1,46.63,12,5,4,7,3,3,0,1
179,2,85.5,10,19,4,3,0,3,0,1
94,1,146.7,7,8,4,2,2,0,3,1
2,2,143.22,4,1,4,2,2,0,5,1
70,1,89.25,10,22,4,3,0,0,0,1
4,0,85.0,9,19,3,0,1,3,0,1
34,1,6.5,2,28,1,0,2,0,0,1
16,0,83.03,3,8,4,1,0,0,1,0
24,0,91.0,2,11,4,3,1,0,0,0
78,1,80.75,4,10,4,2,2,3,0,1
305,0,89.0,11,4,4,2,1,0,0,0
98,0,109.81,4,30,4,5,2,0,0,1
14,0,70.88,12,5,4,3,1,0,3,1
44,2,83.6,11,23,4,2,0,3,0,1
213,0,130.0,6,7,4,3,0,0,0,0
5,1,95.0,4,4,4,1,1,0,0,1
139,1,62.0,2,11,3,3,0,0,3,1
44,0,95.0,4,23,3,1,2,0,1,1
18,1,145.0,2,28,4,1,2,1,3,1
0,0,95.0,10,17,2,0,1,0,0,1
152,0,80.75,6,18,3,4,2,0,0,1
42,2,142.2,8,30,4,4,0,0,3,1
209,1,128.7,10,21,4,3,2,0,3,0
69,1,90.95,3,20,4,3,2,0,0,1
80,2,93.6,11,18,4,2,1,0,0,1
49,0,60.0,11,9,3,2,1,0,3,1
143,0,90.0,8,25,3,3,0,0,0,1
67,2,95.4,12,5,4,1,2,3,0,1
41,1,160.0,10,21,4,2,0,0,0,0
154,2,104.1,10,30,4,1,2,0,3,0
2,0,109.0,8,3,3,4,0,0,0,1
99,1,93.78,4,10,4,4,2,0,3,0
14,0,95.0,10,14,2,2,0,0,0,1
0,0,140.0,10,15,4,1,0,3,0,1
22,1,87.0,12,24,4,3,1,0,0,1
7,1,85.85,3,5,4,1,2,0,3,1
84,0,99.45,3,24,4,3,1,0,3,1
109,1,120.28,5,4,4,4,0,0,3,1
71,0,120.0,6,14,3,3,0,0,0,1
4,1,77.77,4,3,4,0,2,0,0,1
58,1,116.1,6,10,4,1,0,3,0,1
133,0,189.0,7,23,4,1,0,1,3,0
27,0,152.67,6,26,4,1,2,0,3,0
27,1,66.31,2,4,4,3,2,0,0,1
9,2,95.0,9,10,4,1,0,0,0,1
86,0,122.0,12,8,4,3,0,0,0,0
13,0,58.0,12,17,3,3,0,0,0,1
0,1,89.89,12,5,4,3,1,0,0,1
5,1,156.0,6,21,4,2,0,0,3,1
82,0,99.45,3,24,4,3,1,0,3,1
330,0,172.8,8,31,4,2,0,0,5,0
3,1,98.56,8,22,4,3,1,3,0,1
35,0,71.1,3,10,4,1,0,0,0,0
12,0,128.06,3,30,4,15,6,0,3,0
0,0,0.0,11,19,1,1,0,0,0,1
7,1,106.0,4,7,4,1,0,0,0,1
47,1,130.61,9,27,4,4,0,0,3,0
117,1,105.74,6,17,4,3,2,3,0,1
2,1,136.0,6,10,4,2,0,0,3,1
26,0,120.0,6,8,3,1,0,0,0,1
75,1,74.8,12,2,4,2,2,3,0,1
256,1,112.0,6,15,4,2,0,1,0,0
137,2,121.5,8,21,4,0,1,0,0,1
92,0,70.0,10,7,3,4,0,0,0,1
1,0,75.0,11,29,3,1,0,0,0,1
18,0,54.0,1,2,3,1,0,0,0,1
78,0,100.0,3,25,4,2,1,0,0,0
8,2,0.0,4,23,1,1,0,0,3,1
30,0,186.22,11,2,4,9,4,0,5,0
117,0,79.2,11,13,4,0,2,3,0,1
10,0,103.0,3,19,4,1,1,0,0,1
8,1,135.0,10,20,4,2,0,0,0,1
33,1,104.0,11,26,4,1,0,0,0,0
184,3,130.05,8,3,4,5,2,0,3,1
232,0,100.3,9,5,4,3,1,0,0,0
45,1,139.5,10,7,4,2,2,0,3,0
1,1,66.0,2,3,2,1,0,0,0,1
63,2,106.88,9,3,4,2,2,0,0,1
89,1,149.4,9,16,4,2,2,0,3,1
63,2,109.35,4,26,4,2,0,0,0,1
304,0,89.0,11,3,4,3,0,0,0,0
1,1,115.0,4,9,4,1,2,0,0,1
51,0,85.5,3,16,2,1,0,0,0,1
110,0,90.95,4,20,4,2,0,0,3,1
20,1,117.55,7,30,4,1,2,0,3,1
50,1,108.0,10,19,4,1,0,3,0,0
48,1,139.5,10,11,4,3,0,0,3,1
96,0,129.88,9,13,4,3,0,0,4,0
148,0,67.0,12,30,3,4,1,0,0,1
25,1,129.0,10,3,4,1,1,3,0,0
148,0,79.53,6,25,4,5,2,0,0,0
114,0,72.25,8,22,3,3,1,0,0,1
257,0,80.0,7,1,3,2,0,1,0,1
105,2,119.85,6,11,4,5,2,0,0,1
4,0,117.0,11,2,4,2,1,0,0,1
67,1,29.0,9,6,1,2,2,1,3,1
61,1,118.8,9,2,4,2,2,0,0,1
79,1,192.03,12,30,3,2,0,0,0,1
74,2,168.3,5,21,4,1,0,0,0,1
120,0,72.76,5,12,4,1,0,3,0,1
157,0,68.0,12,8,3,3,0,0,0,1
4,0,89.0,1,6,4,4,0,0,0,1
46,0,124.46,8,28,4,5,2,0,3,1
41,0,70.33,3,13,2,1,2,0,0,1
84,2,170.1,6,15,4,4,1,0,3,1
27,1,125.25,6,29,4,3,0,0,3,1
74,0,55.9,7,27,4,7,3,0,0,1
85,0,126.9,6,20,4,2,1,0,0,0
6,0,79.0,2,26,4,2,0,3,0,0
256,2,94.35,10,23,4,3,2,0,0,0
265,0,109.0,6,24,4,2,0,1,0,0
64,0,112.2,4,15,4,3,2,0,3,1
0,1,109.0,10,1,2,1,0,0,0,1
91,0,65.0,9,14,2,2,0,0,0,1
